City,Country,Date,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Suez,EG,2020-01-06,29.97,281.8,61,0,1.72
Oussouye,SN,2020-01-06,12.49,290.29,16,0,3.31
Machico,PT,2020-01-06,32.7,289.15,72,40,2.1
Huarmey,PE,2020-01-06,-10.07,293.49,79,38,0.96
Correntina,BR,2020-01-06,-13.34,293.17,98,57,0.46
Tondano,ID,2020-01-06,1.3,305.15,62,40,3.1
Yerbogachen,RU,2020-01-06,61.28,261.42,92,100,5.09
Bud,NO,2020-01-06,62.91,282.15,93,100,3.1
Anito,PH,2020-01-06,12.45,300.61,81,88,8.81
Mutsu,JP,2020-01-06,41.29,276.15,50,40,9.8
Porto Murtinho,BR,2020-01-06,-21.7,300.01,40,0,1.95
Lucapa,AO,2020-01-06,-8.42,292.36,98,100,1.15
Laguna,BZ,2020-01-06,16.17,296.15,73,75,3.1
Koumac,NC,2020-01-06,-20.56,300.73,57,61,1.35
Nyagan,RU,2020-01-06,62.14,263.06,93,61,3.24
Galveston,US,2020-01-06,40.58,278.15,74,90,11.3
Adrar,DZ,2020-01-06,27.87,278.15,44,0,5.1
Nusaybin,TR,2020-01-06,37.08,277.15,100,75,2.9
Ozark,US,2020-01-06,37.02,278.71,56,5,2.7
Lydenburg,ZA,2020-01-06,-25.1,288.97,89,16,1.53
Madras,US,2020-01-06,44.63,276.48,74,1,4.1
Desenzano del Garda,IT,2020-01-06,45.47,278.15,86,0,3.1
The Valley,AI,2020-01-06,18.22,299.15,74,20,3.6
Pangai,TO,2020-01-06,-19.8,302.15,70,20,5.1
Bumba,CD,2020-01-06,2.18,295.35,66,100,0.98
Buenos Aires,AR,2020-01-06,-34.61,298.15,83,90,5.1
Hervey Bay,AU,2020-01-06,-25.3,302.59,58,40,5.1
Aginskoye,RU,2020-01-06,51.11,261.54,81,97,3.38
Mishan,CN,2020-01-06,45.55,262.46,85,56,1.31
Rochegda,RU,2020-01-06,62.67,260.75,94,0,2.05
Harlingen,NL,2020-01-06,53.18,281.15,100,90,5.7
Minnedosa,CA,2020-01-06,50.25,265.15,78,5,5.1
Caibarien,CU,2020-01-06,22.52,291.15,77,76,2.1
Gat,SN,2020-01-06,14.69,291.15,34,0,5.7
Burnie,AU,2020-01-06,-41.05,293.71,41,0,4.92
Bereda,ES,2020-01-06,43.27,278.15,100,90,2.1
Richards Bay,ZA,2020-01-06,-28.77,299.07,89,67,6.67
Kouango,CF,2020-01-06,4.99,293.98,48,100,0.2
Mehamn,NO,2020-01-06,71.03,264.7,81,100,3.81
Belmonte,PT,2020-01-06,40.36,275.37,84,0,0.28
Telsiai,LT,2020-01-06,55.98,273.91,96,100,8.03
Shahr-e Babak,IR,2020-01-06,30.12,274.76,88,0,0.58
Susangerd,IR,2020-01-06,31.56,279.15,87,0,1.0
Parrsboro,CA,2020-01-06,45.41,270.15,73,90,5.7
Bahia de Caraquez,EC,2020-01-06,-0.6,298.15,88,75,1.0
Loreto,PY,2020-01-06,-23.27,299.16,51,0,3.0
Bima,ID,2020-01-06,-8.45,303.49,61,79,1.57
Curup,ID,2020-01-06,-3.47,300.34,66,53,0.53
Ife,NG,2020-01-06,7.48,297.15,38,95,2.6
Dunedin,NZ,2020-01-06,-45.87,286.48,50,70,18.78
Atar,MR,2020-01-06,20.52,284.16,27,0,3.37
Galatini,GR,2020-01-06,40.32,275.93,58,0,5.7
Khani,GE,2020-01-06,41.96,273.15,50,0,2.1
Mount Pleasant,US,2020-01-06,33.16,284.82,57,1,1.88
Kudahuvadhoo,MV,2020-01-06,2.67,301.2,78,100,5.11
Jerome,US,2020-01-06,34.75,280.37,47,1,2.07
Saquarema,BR,2020-01-06,-22.93,298.15,88,75,2.6
Gombe,NG,2020-01-06,10.28,289.52,34,95,4.64
Porto Novo,BR,2020-01-06,-23.68,293.15,94,75,1.5
Martapura,ID,2020-01-06,-3.41,302.15,79,40,1.0
Guarapari,BR,2020-01-06,-20.67,299.15,94,75,2.1
Trat,TH,2020-01-06,12.25,304.82,69,0,1.0
Whitehorse,CA,2020-01-06,60.72,255.15,77,90,5.7
Plouzane,FR,2020-01-06,48.38,279.15,93,90,4.6
Roald,NO,2020-01-06,62.58,282.15,87,100,5.7
Mareeba,AU,2020-01-06,-16.99,305.37,66,40,3.6
Goderich,CA,2020-01-06,43.74,273.15,91,100,5.36
Imbituba,BR,2020-01-06,-28.24,297.15,88,40,1.0
Skrunda,LV,2020-01-06,56.68,278.15,100,100,9.3
Yarada,IN,2020-01-06,17.65,297.15,69,20,4.6
Ko Samui,TH,2020-01-06,9.54,302.15,70,20,3.1
Codrington,AU,2020-01-06,-28.95,305.15,45,40,4.6
Dubbo,AU,2020-01-06,-32.25,308.15,24,100,6.7
Gossaigaon,IN,2020-01-06,26.45,287.54,60,19,3.26
Talara,PE,2020-01-06,-4.58,295.24,90,0,4.1
Kishi,NG,2020-01-06,9.08,293.65,30,33,1.07
Lorengau,PG,2020-01-06,-2.02,302.79,69,68,3.83
Koshurnikovo,RU,2020-01-06,54.3,263.11,99,98,1.57
Sarab,IR,2020-01-06,38.61,270.59,65,81,0.36
Mandeville,US,2020-01-06,30.36,286.15,87,1,1.44
Villach,AT,2020-01-06,46.62,273.15,85,0,1.0
Palu,ID,2020-01-06,-0.9,294.16,97,100,0.59
North Platte,US,2020-01-06,41.12,272.04,72,64,3.37
Ambulu,ID,2020-01-06,-8.35,301.32,77,85,4.74
Karratha,AU,2020-01-06,-20.74,303.98,64,100,3.12
Manggar,ID,2020-01-06,-2.88,301.32,80,86,7.33
Port Shepstone,ZA,2020-01-06,-30.74,295.18,98,100,1.77
Nabire,ID,2020-01-06,-3.36,304.8,58,86,1.97
Alta Floresta,BR,2020-01-06,-9.87,293.31,98,100,0.91
Ossora,RU,2020-01-06,59.24,259.9,97,100,2.46
Misratah,LY,2020-01-06,32.38,288.49,58,0,13.82
Kailua,US,2020-01-06,21.39,300.93,65,90,4.6
Tateyama,JP,2020-01-06,36.66,282.04,52,40,2.6
Mildura,AU,2020-01-06,-34.18,293.71,68,100,4.6
Ixtepec,MX,2020-01-06,20.03,284.74,95,99,0.09
Olean,US,2020-01-06,42.08,271.48,85,90,2.6
Mumbwa,ZM,2020-01-06,-14.99,291.7,94,100,3.11
Hamilton,CA,2020-01-06,43.26,273.71,92,90,5.7
Paita,PE,2020-01-06,-5.09,297.19,71,0,2.42
Manta,RO,2020-01-06,45.1,271.07,58,0,0.77
Ankang,CN,2020-01-06,32.73,275.12,97,100,0.81
Ambilobe,MG,2020-01-06,-13.19,298.11,90,100,1.55
Erzin,TR,2020-01-06,36.95,281.15,61,75,2.6
Kargasok,RU,2020-01-06,59.06,260.45,94,89,4.78
Hami,CN,2020-01-06,42.84,268.07,38,99,0.52
Hendersonville,US,2020-01-06,36.3,281.48,91,1,3.38
Megion,RU,2020-01-06,61.04,269.15,92,90,7.0
Udachnyy,RU,2020-01-06,66.42,255.15,84,90,3.0
La Sarre,CA,2020-01-06,48.8,257.2,96,100,2.0
Mount Gambier,AU,2020-01-06,-37.83,295.15,46,0,6.7
Fare,PF,2020-01-06,-16.7,301.19,73,49,4.85
General Roca,AR,2020-01-06,-39.03,292.15,37,0,7.2
Deputatskiy,RU,2020-01-06,69.3,245.41,76,85,0.33
Kirakira,SB,2020-01-06,-10.46,301.99,74,97,5.44
Meulaboh,ID,2020-01-06,4.14,300.15,76,29,2.58
Gravdal,NO,2020-01-06,59.79,282.04,93,100,5.7
Murindo,CO,2020-01-06,6.98,294.32,98,74,0.47
Jumla,NP,2020-01-06,29.28,273.86,30,3,1.13
Bara,NG,2020-01-06,10.41,288.6,39,71,2.62
North Myrtle Beach,US,2020-01-06,33.83,281.15,93,1,2.57
Moorhead,US,2020-01-06,46.87,270.15,62,1,4.6
Bonthe,SL,2020-01-06,7.53,297.35,72,0,1.86
Japura,ID,2020-01-06,-0.42,302.48,64,54,1.91
Farafangana,MG,2020-01-06,-22.82,299.23,75,28,1.36
Bonfim,GY,2020-01-06,3.36,300.57,42,4,6.71
Inhuma,BR,2020-01-06,-6.67,294.43,88,46,1.13
Margate,AU,2020-01-06,-43.03,298.15,55,20,7.7
Boguchany,RU,2020-01-06,58.38,265.92,95,93,1.98
Krutaya Gorka,RU,2020-01-06,55.36,269.15,85,75,6.0
Saint Anthony,US,2020-01-06,43.97,270.15,85,90,4.1
Puerto El Triunfo,SV,2020-01-06,13.27,300.15,47,0,6.2
Lloret de Mar,ES,2020-01-06,41.7,282.59,73,3,7.27
Bathsheba,BB,2020-01-06,13.22,297.15,94,75,6.7
Paamiut,GL,2020-01-06,61.99,262.2,95,100,15.37
Altay,CN,2020-01-06,47.83,264.28,49,92,2.15
Queimadas,BR,2020-01-06,-7.36,297.15,83,75,6.2
Marawi,PH,2020-01-06,8.0,300.37,73,7,3.13
